"","GEOID","neib_name","Predicted_2019_GANG_PRESENCE_raw_metric","Predicted_2019_GANG_PRESENCE_metric"
"109","06085503710","Mayfair",0.543284003449445,"90"
"110","06085503711","Mayfair",0.464583554409485,"80"
"111","06085503712","Alum Rock West",0.59140676956541,"90"
"112","06085503713","Capital Goss",0.502835775233659,"80"
"113","06085503802","San Jose - East Valley / 680",0.19744339385398,"30"
"114","06085503803","San Jose - East Valley / 680",0.213608850501792,"40"
"115","06085503804","San Jose - East Valley / 680",0.2769655503806,"50"
"116","06085503902","Alum Rock East",0.29394570658629,"50"
"117","06085503903","Capital Goss",0.356094921230594,"70"
"118","06085504001","Capital Goss",0.424583619563049,"80"
"119","06085504002","Capital Goss",0.374313357419,"70"
"120","06085504101","Alum Rock East",0.264987261474853,"50"
"121","06085504102","Alum Rock East",0.269407954535648,"50"
"122","06085504201","Alum Rock / East Foothills",0.13496616130778,"10"
"123","06085504202","Alum Rock / East Foothills",0.101985284938978,"10"
"124","06085504307","Berryessa",0.214312775999975,"40"
"125","06085504308","Berryessa",0.201536552534081,"30"
"126","06085504311","San Jose - North Valley",0.17988741925038,"20"
"127","06085504314","Berryessa",0.212672297695989,"40"
"128","06085504315","Berryessa",0.185998471698256,"30"
"129","06085504316","San Jose - North Valley",0.21462203465086,"40"
"130","06085504317","San Jose - North Valley",0.176264929220018,"20"
"131","06085504318","San Jose - North Valley",0.381528910553604,"70"
"132","06085504319","San Jose - North Valley",0.235424547531658,"40"
"133","06085504320","Berryessa",0.170480846152919,"20"
"134","06085504321","Berryessa",0.229835560951328,"40"
"135","06085504322","San Jose - North Valley",0.205488004544833,"30"
"136","06085504323","San Jose - North Valley",0.168407752919051,"20"
"137","06085504410","Berryessa",0.26874240323959,"50"
"138","06085504411","Berryessa",0.116613060055577,"10"
