"","GANG_PRESENCE","gang_affiliated_crime","graffiti","child_maltreatment","developmental_trauma","exposure_to_violence_and_racial_prejudice","community_disorganization","presence_of_illegal_firearms","school_violence_and_low_graduation","youth_with_disabilities","poverty","substance_abuse","GANG_PRESENCE_percentile","gang_affiliated_crime_percentile","graffiti_percentile","child_maltreatment_percentile","developmental_trauma_percentile","exposure_to_violence_and_racial_prejudice_percentile","community_disorganization_percentile","presence_of_illegal_firearms_percentile","school_violence_and_low_graduation_percentile","youth_with_disabilities_percentile","poverty_percentile","substance_abuse_percentile","GANG_PRESENCE_score"
"17",0.434662963904949,0,0,0.253486135498427,0.173676672628768,0.177274153452721,0.399480070002847,0.0907315471098619,0.370824898785425,0.296025960501358,0.457782333030828,0.192322756565685,0.818181818181818,0,0,0.71900826446281,0.747933884297521,0.805785123966942,0.855371900826446,0.739669421487603,0.760330578512397,0.90495867768595,0.892561983471074,0.747933884297521,"80"
"18",0.481949523105558,0,0,0.490385749986304,0.292060649735404,0.116383582116724,0.470802154001188,0.0615185649085481,0.38621518510461,0.160889408766671,0.455509163117335,0.221633238954751,0.867768595041322,0,0,0.983471074380165,0.913223140495868,0.615702479338843,0.909090909090909,0.59504132231405,0.785123966942149,0.694214876033058,0.888429752066116,0.789256198347107,"80"
"19",0.58057978572766,0,0,0.228022754069368,0.238032000150855,0.233027847327679,0.674249604121363,0.18996327451329,0.414865676787702,0.118090690186954,0.5325475261217,0.535101896136901,0.950413223140496,0,0,0.673553719008264,0.867768595041322,0.90495867768595,0.979338842975207,0.913223140495868,0.90495867768595,0.541322314049587,0.925619834710744,0.971074380165289,"90"
"20",0.814228287874672,0.987412024934647,0,0.657576497883895,0.441250022850666,0.210238944092945,0.482977454543074,0.229412398379822,0.322867580363266,0.0763208281240437,0.513710310313812,0.44674619592479,0.983471074380165,0.995867768595041,0,1,0.991735537190083,0.884297520661157,0.917355371900826,0.954545454545455,0.487603305785124,0.400826446280992,0.913223140495868,0.958677685950413,"90"
"21",0.311300274096797,0,0,0.209560184706096,0.180291709863082,0.201330361052206,0.248525968582098,0.0503542638054042,0.322867580363266,0.0658457145788097,0.201660385003656,0.295152933517542,0.673553719008264,0,0,0.648760330578512,0.78099173553719,0.863636363636364,0.62396694214876,0.545454545454545,0.487603305785124,0.347107438016529,0.599173553719008,0.863636363636364,"60"
"22",0.336452339829506,0,0,0.205046094909941,0.211479463515109,0.133898213350838,0.325698354920512,0.125215296672574,0.330565527022611,0,0.23210354477725,0.341257971109787,0.71900826446281,0,0,0.640495867768595,0.838842975206612,0.661157024793388,0.735537190082645,0.822314049586777,0.5,0,0.648760330578512,0.917355371900826,"70"
"23",0.257678066368726,0,0,0.0892708442019804,0.0735768903993203,0.101943470178438,0.222162964520001,0.00747178055589271,0.418414879442767,0.20865501828525,0.243288381783573,0.134347287159024,0.570247933884298,0,0,0.305785123966942,0.466942148760331,0.566115702479339,0.586776859504132,0.289256198347107,0.921487603305785,0.814049586776859,0.677685950413223,0.628099173553719,"50"
"24",0.482165470247021,0,0,0.439341280225302,0.209068364648114,0.102488398841562,0.496344591032746,0.0384921715011535,0.418414879442767,0.0688701648087225,0.708818517669313,0.17467267740722,0.871900826446281,0,0,0.962809917355372,0.834710743801653,0.570247933884298,0.933884297520661,0.487603305785124,0.921487603305785,0.367768595041322,0.975206611570248,0.706611570247934,"80"
"25",0.228484358872093,0,0,0.089931531968737,0.0313686313686314,0.109635364071938,0.162854589722325,0.0872499729334705,0.473007759784075,0.109980723923752,0.153222444027373,0.131367824740843,0.512396694214876,0,0,0.309917355371901,0.235537190082645,0.599173553719008,0.450413223140496,0.71900826446281,0.979338842975207,0.520661157024793,0.528925619834711,0.615702479338843,"50"
"26",0.45828266623827,0.108382995629718,0,0.417617994905597,0.136171809473359,0.148764187196737,0.390261214738098,0.0842790453487712,0.418414879442767,0.183315771593742,0.447351563683512,0.198820093875124,0.851239669421488,0.863636363636364,0,0.950413223140496,0.665289256198347,0.710743801652893,0.838842975206612,0.714876033057851,0.921487603305785,0.768595041322314,0.884297520661157,0.764462809917355,"80"
"27",0.348393472908814,0,0,0.317389883626804,0.136463263936102,0.137664100715078,0.359933881469445,0.0649788848797597,0.390694793297491,0.0378034490585947,0.337989750793276,0.183910816862035,0.735537190082645,0,0,0.838842975206612,0.669421487603306,0.673553719008264,0.789256198347107,0.62396694214876,0.838842975206612,0.243801652892562,0.789256198347107,0.723140495867769,"70"
"28",0.164366117318325,0,0,0.000849702604088569,0.0505383505383505,0.0846817058828812,0.127523957157863,0,0.390694793297491,0.129485852311939,0.145105307932835,0.0891676622052939,0.34297520661157,0,0,0.103305785123967,0.326446280991736,0.508264462809917,0.31404958677686,0,0.838842975206612,0.586776859504132,0.471074380165289,0.417355371900826,"30"
"29",0.15519789367392,0,0,0.137795174150305,0.0387005883815364,0.0436883335548542,0.135432677456423,0,0.390694793297491,0,0.0466596932523296,0.177807876916961,0.293388429752066,0,0,0.462809917355372,0.276859504132231,0.309917355371901,0.347107438016529,0,0.838842975206612,0,0.169421487603306,0.714876033057851,"20"
"30",0.191858541635823,0,0,0.12280562605753,0.0323257960313798,0.0353114496096864,0.134637877187434,0.0787991751269035,0.354349794032395,0.148746137717943,0.104976849283592,0.147836072325054,0.433884297520661,0,0,0.433884297520661,0.247933884297521,0.268595041322314,0.34297520661157,0.685950413223141,0.685950413223141,0.661157024793388,0.351239669421488,0.669421487603306,"40"
"31",0.156661196783032,0,0,0.0683206540322923,0.082864065322452,0.126454360460972,0.132347492492804,0.0894386521147084,0.322867580363266,0,0.0163987049929567,0.139631912718288,0.297520661157025,0,0,0.252066115702479,0.512396694214876,0.644628099173554,0.330578512396694,0.731404958677686,0.487603305785124,0,0.0619834710743802,0.644628099173554,"20"
"32",0.158557870531439,0,0,0.0887322636528625,0.0679348342357747,0.0656550259970661,0.0994941243197053,0.0721795230631437,0.350185714816328,0.097982826768434,0.0435584072940816,0.102379297192508,0.309917355371901,0,0,0.301652892561983,0.450413223140496,0.429752066115702,0.223140495867769,0.652892561983471,0.661157024793388,0.487603305785124,0.161157024793388,0.495867768595041,"30"
"33",0.188057647283196,0,0,0.11464586262404,0.0399366487171365,0.126560355845441,0.127187548543099,0,0.343861808367071,0.178919860627178,0.108231025936601,0.100849568044719,0.429752066115702,0,0,0.400826446280992,0.293388429752066,0.648760330578512,0.305785123966942,0,0.59504132231405,0.756198347107438,0.355371900826446,0.479338842975207,"40"
"34",0.0714915262934163,0,0,0.0444240196078431,0,0.0063912047758736,0.0304952168510933,0,0.397879402104414,0,0.00397759564959053,0.0560505752869495,0.0950413223140496,0,0,0.190082644628099,0,0.148760330578512,0.00826446280991736,0,0.855371900826446,0,0.0247933884297521,0.276859504132231,"0"
"35",0.30068117902903,0,0,0.0213182308660323,0.0279012127113393,0.00190429275697889,0.142550945287587,0,0.231791617453284,1,0.232576298766384,0.0627981167003921,0.665289256198347,0,0,0.148760330578512,0.210743801652893,0.111570247933884,0.371900826446281,0,0.115702479338843,1,0.652892561983471,0.31404958677686,"60"
"36",0.2121935227889,0,0,0.124916867331728,0.172590612002377,0.116541602201071,0.194122268418706,0.0287394957983193,0.188355504144978,0.131329923273657,0.184818026074102,0.123214618391426,0.479338842975207,0,0,0.43801652892562,0.743801652892562,0.619834710743802,0.524793388429752,0.433884297520661,0.0909090909090909,0.603305785123967,0.578512396694215,0.574380165289256,"40"
"37",0.115555080970519,0,0,0.045701938961027,0.0690079384056238,0.108537311230408,0.157244273601716,0,0.188355504144978,0.0822107357683599,0.0534994833817547,0.0618372996191263,0.173553719008264,0,0,0.198347107438017,0.454545454545455,0.590909090909091,0.429752066115702,0,0.0909090909090909,0.421487603305785,0.190082644628099,0.309917355371901,"10"
"38",0.0829665139159282,0,0,0.0587791144527987,0.0378431168831169,0.0188981187696366,0.0880504810899473,0,0.188355504144978,0.0306186335403727,0.0608539184781051,0.114980200281999,0.115702479338843,0,0,0.231404958677686,0.272727272727273,0.210743801652893,0.173553719008264,0,0.0909090909090909,0.210743801652893,0.214876033057851,0.541322314049587,"10"
"39",0.129961342278745,0,0,0.0769803375967705,0.0740922289885943,0.0286003360906586,0.0696722856741247,0,0.188355504144978,0.271615056094662,0.0124177987675369,0.118934645947042,0.206611570247934,0,0,0.268595041322314,0.475206611570248,0.235537190082645,0.107438016528926,0,0.0909090909090909,0.87603305785124,0.0537190082644628,0.553719008264463,"10"
"40",0.165122042245364,0,0,0.127057382689641,0.0524584025064596,0.033086916692857,0.129159284396326,0.012075086797042,0.265699206416274,0.15940636025527,0.150487108832275,0.0925148712143787,0.347107438016529,0,0,0.442148760330579,0.334710743801653,0.256198347107438,0.318181818181818,0.326446280991736,0.136363636363636,0.681818181818182,0.512396694214876,0.433884297520661,"30"
"41",0.141868079228401,0,0,0.0853812502833311,0.0914000469814423,0.0568056173210907,0.0768700838240689,0,0.339987608110746,0.17739720256151,0.024302032877405,0.049911375138741,0.247933884297521,0,0,0.289256198347107,0.541322314049587,0.37603305785124,0.140495867768595,0,0.578512396694215,0.747933884297521,0.0826446280991736,0.247933884297521,"20"
