"","GEOID","neib_name","Predicted_2020_PARENT_AWARENESS_raw_metric","Predicted_2020_PARENT_AWARENESS_metric"
"1","06085500100","San Jose - Northside",0.556688688399882,"70"
"2","06085500200","San Jose - Downtown",0.327926440302031,"40"
"3","06085500300","San Jose - Downtown",0.401451804528447,"50"
"4","06085500400","Rose Garden",0.258235685767956,"30"
"5","06085500500","Rose Garden",0.221570389812159,"20"
"6","06085500600","Rose Garden",0.154441760666917,"10"
"7","06085500800","San Jose - Downtown",0.448043968552575,"60"
"8","06085500901","San Jose - Downtown",0.654030378306275,"80"
"9","06085500902","San Jose - University",0.126012391585752,"10"
"10","06085501000","San Jose - Northside",0.65381104368256,"80"
"11","06085501101","San Jose - Northside",0.496579131638975,"70"
"12","06085501102","San Jose - Northside",0.59735973370957,"80"
"13","06085501200","San Jose - Northside",0.58494099488615,"70"
"14","06085501300","San Jose - University",0.177730501992965,"20"
"15","06085501401","Alum Rock West",0.640752904601324,"80"
"16","06085501402","Brookwood Terrace",0.813450830048883,"90"
"17","06085501501","Brookwood Terrace",0.731143217234866,"90"
"18","06085501502","Brookwood Terrace",0.900846150160971,"90"
"19","06085501600","San Jose - University",0.424912600971287,"60"
"20","06085501700","Guadalupe / Washington",0.906379578475899,"90"
"21","06085501800","Willow Glen",0.375417407991187,"50"
"22","06085501900","San Jose - Downtown",0.386628426116223,"50"
"23","06085502001","West San Carlos / Burbank",0.556122143745054,"70"
"24","06085502002","West San Carlos / Burbank",0.708419471037642,"80"
"25","06085502101","West San Carlos / Burbank",0.457395002473174,"60"
"26","06085502102","West San Carlos / Burbank",0.6571142114861,"80"
"27","06085502201","North Willow Glen / Gardner",0.389920247548476,"50"
"28","06085502202","Willow Glen",0.340433380221263,"40"
"29","06085502301","North Willow Glen / Gardner",0.373206570591764,"50"
"30","06085502302","North Willow Glen / Gardner",0.442396373282664,"60"
"31","06085502400","Willow Glen",0.356399763224785,"40"
"32","06085502500","Willow Glen",0.121173228793114,"0"
"33","06085502601","Willow Glen",0.159491525565972,"10"
"34","06085502603","Winchester East",0.189694010345143,"20"
"35","06085502604","Winchester East",0.275214789730421,"30"
"36","06085502701","Cambrian Park West Central",0.305519756763294,"40"
"37","06085502702","Cambrian Park West",0.128226581298408,"10"
"38","06085502800","Cambrian Park West Central",0.324131107791214,"40"
"39","06085502901","Cambrian Park West Central",0.329773412187726,"40"
"40","06085502902","Cambrian Park East Central",0.24169579342224,"20"
"41","06085502903","Willow Glen South",0.121219246017699,"0"
"42","06085502906","Cambrian Park West Central",0.400480714991451,"50"
"43","06085502907","Cambrian Park East Central",0.259656457768671,"30"
"44","06085502908","Cambrian Park East Central",0.141891500831688,"10"
"45","06085502909","Cambrian Park East",0.405874967496049,"60"
