"","PARENT_AWARENESS","child_maltreatment","prop_single_mothers","teen_mothers","families_in_poverty","families_unaware_of_community","drug_abuse","PARENT_AWARENESS_percentile","child_maltreatment_percentile","prop_single_mothers_percentile","teen_mothers_percentile","families_in_poverty_percentile","families_unaware_of_community_percentile","drug_abuse_percentile","PARENT_AWARENESS_score"
"188",0.172726040020464,0.0132254206804335,0.180738578720191,0.0133111480865225,0.121793999221535,0.532816811552191,0.0834736096891359,0.214876033057851,0.15702479338843,0.148760330578512,0.0537190082644628,0.367768595041322,0.93801652892562,0.425619834710744,"20"
"189",0.18259028988524,0.179642457300749,0.191749653033016,0.0133111480865225,0.147181476243493,0.479215420621477,0.0443682854464972,0.231404958677686,0.665289256198347,0.161157024793388,0.0537190082644628,0.462809917355372,0.880165289256198,0.206611570247934,"20"
"190",0.03934864134543,0.022867424642116,0.0462246103833426,0.0133111480865225,0.0190175205145265,0.387210706715205,0.0378938760970239,0.0371900826446281,0.181818181818182,0.0289256198347107,0.0537190082644628,0.0413223140495868,0.685950413223141,0.15702479338843,"0"
"191",0.202372981210684,0.0738393964490702,0.297260500330358,0.0133111480865225,0.107960857972309,0.501920947884922,0.0513367061561273,0.276859504132231,0.326446280991736,0.309917355371901,0.0537190082644628,0.326446280991736,0.909090909090909,0.268595041322314,"20"
"192",0.188591994412247,0.117726996650074,0.22875280796108,0.0133111480865225,0.196290912680134,0.448951801126538,0.0378938760970239,0.235537190082645,0.454545454545455,0.214876033057851,0.0537190082644628,0.586776859504132,0.818181818181818,0.15702479338843,"20"
"193",0.103807492809803,0,0.12751370974703,0.0332778702163062,0.0473620296439509,0.463899921637274,0.05094076880728,0.107438016528926,0,0.0950413223140496,0.0826446280991736,0.111570247933884,0.84297520661157,0.264462809917355,"0"
"194",0.146499945336172,0,0.196222185637762,0.0332778702163062,0.114492241538608,0.461711843067872,0.05094076880728,0.169421487603306,0,0.173553719008264,0.0826446280991736,0.347107438016529,0.838842975206612,0.264462809917355,"10"
"195",0.248437360777414,0,0.260515838189467,0.0332778702163062,0.0974639363532951,0.733566079361149,0.05094076880728,0.363636363636364,0,0.247933884297521,0.0826446280991736,0.293388429752066,0.979338842975207,0.264462809917355,"30"
"196",0.233293103033922,0,0.118895388504094,0.0848585690515807,0.0513596729985006,0.828618798843677,0.0446222954379338,0.338842975206612,0,0.0826446280991736,0.119834710743802,0.128099173553719,0.991735537190083,0.214876033057851,"30"
"198",0.178789965965207,0.0679060097664749,0.364877907347854,0.129783693843594,0.132392631456132,0.232437501787172,0.0382703455422779,0.223140495867769,0.293388429752066,0.413223140495868,0.21900826446281,0.417355371900826,0.347107438016529,0.161157024793388,"20"
"199",0.0781248720855357,0.134445188089611,0.0607623039644499,0.129783693843594,0.0454896658296311,0.272563658828223,0.0618958932753435,0.0826446280991736,0.524793388429752,0.0371900826446281,0.21900826446281,0.107438016528926,0.396694214876033,0.334710743801653,"0"
"200",0.00491454609290667,0.0579729874949594,0.0522743109711691,0,0.0180788305127576,0.304502646877018,0.00463334531635475,0.00826446280991736,0.268595041322314,0.0330578512396694,0,0.0330578512396694,0.450413223140496,0.0247933884297521,"0"
"201",0.0787920382172326,0.000638273513080314,0.154300877936768,0.129783693843594,0.0712359207396644,0.218411894362754,0.0450418438734833,0.0867768595041322,0.140495867768595,0.111570247933884,0.21900826446281,0.190082644628099,0.31404958677686,0.21900826446281,"0"
"202",0.121472864235479,0.0495239975469953,0.36332990273334,0,0.0158391508288648,0.338700874441997,0.0149703653041168,0.144628099173554,0.231404958677686,0.409090909090909,0,0.0206611570247934,0.537190082644628,0.0702479338842975,"10"
"203",0.0375451437998705,0.0417991768839542,0.084504982330876,0,0.101454608948676,0.291135133593006,0.00649453842909871,0.0330578512396694,0.21900826446281,0.0454545454545455,0,0.309917355371901,0.433884297520661,0.0289256198347107,"0"
