"","GEOID","neibid","NAME","sampled_pop","total_pop","unemployed","not_in_labor_force","below_poverty_line","no_diploma_18_24_male","no_diploma_18_24_female","under_18_pop","under_18_with_disability","single_mothers","no_diploma_25_64","family_in_poverty","entered_2010_later","foreign_born","disability_under_18","income_under_poverty_line","Poverty_6_and_younger","Poverty_6_11","Poverty_12_17","white","black","asian","hispanic","amiakn","hawaiipi","other_races","two_or_more_races","tract","OBJECTID","tobacco_dens","crime_1mi_ave","alchohol_dens","birth_teen","overobese_teen","overobese_child","ALAND","weed_dens","c_auto_theft","c_burglary","c_narcotics","c_sex","c_grand_theft","c_dui","c_drunk_in_public","c_minor_alcohol","c_minor_tobacco","c_child_abuse","c_child_molest","c_child_neglect","c_domestic_battery","c_domestic_violence","c_missing_juv","c_agg_assault","c_intercourse_with_minor","c_robbery","c_assault","c_threats","c_graffiti","c_disturbance","c_weapons","c_armed_robbery","c_strong_armed_robbery","c_domestic_armed_robbery","c_gang_crime","c_total_crime","cad_calls","ssci_incidents","Hispanic_or_Latino_12th_grade_Enrolled","American_Indian_or_Alaska_Native_12th_grade_Enrolled","Asian_12th_grade_Enrolled","Pacific_Islander_12th_grade_Enrolled","Filipino_12th_grade_Enrolled","African_American_12th_grade_Enrolled","White_12th_grade_Enrolled","Two_or_More_Races_12th_grade_Enrolled","Not_Reported_12th_grade_Enrolled","Hispanic_or_Latino_Graduated","American_Indian_or_Alaska_Native_Graduated","Asian_Graduated","Pacific_Islander_Graduated","Filipino_Graduated","African_American_Graduated","White_Graduated","Two_or_More_Races_Graduated","Not_Reported_Graduated","total_enrolled","total_graduated","grad_rate","no_grad_rate","graf_incidents","graf_area","edi","youth_in_poverty","no_diploma_18_24"
"312","06085511909",75,"Census Tract 5119.09, Santa Clara County, California",502,8033,1.6,0.0103323789368853,1.2,0.00323664882360264,0,0.254948338105316,49,0.00970994647080792,0.00734470309971368,0.00161832441180132,0.0189219469687539,0.402589319058882,0.0036101083032491,0,0,0,0.00136935142537035,47.8,0,44.6,2.9,0,0,0.00423254076932653,0.0544005975351674,"5119.09",75,0.1,1,0,0.3,"0% to 11%","6% to 8%","23730447",0,0.871405452508403,3.73459479646458,0.248972986430972,0.124486493215486,0.622432466077431,0.124486493215486,0,0,0,0.497945972861945,0,0.124486493215486,0.248972986430972,0,0.373459479646458,0,0,0.124486493215486,0.373459479646458,0.124486493215486,0.124486493215486,0.622432466077431,0,0,0.124486493215486,0,0,7.96713556579111,722,0.00298767583717167,1088,10,362,10,39,59,826,72,1,764,7,348,8,34,39,721,68,0,2467,1989,0.80624239967572,0.19375760032428,0.000373459479646458,0,-0.692256546661641,0.00136935142537035,0.00323664882360264
"313","06085511910",36,"Census Tract 5119.10, Santa Clara County, California",309,3235,1.5,0.00340030911901082,3.9,0.00216383307573416,0,0.272952086553323,25,0.0173106646058733,0.0120556414219474,0.0071097372488408,0.0568778979907264,0.232766615146832,0.00649149922720247,0,0,0,0.00401854714064915,69.6,2.6,22.5,1.6,0,0.00309119010819165,0,0.0380216383307573,"5119.10",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","2273767",0,0.309119010819165,4.63678516228748,0,0.618238021638331,1.54559505409583,0.309119010819165,0,0,0,0,0.309119010819165,0,0.309119010819165,0.309119010819165,0.309119010819165,0.309119010819165,0,0,1.54559505409583,0,0.309119010819165,0.309119010819165,0.927357032457496,0,0,0,0,11.4374034003091,423,0.00680061823802164,911,7,270,7,27,46,406,17,1,602,3,260,5,23,27,366,14,0,1692,1300,0.768321513002364,0.231678486997636,0,0,-1.65062777140803,0.00401854714064915,0.00216383307573416
"314","06085511911",75,"Census Tract 5119.11, Santa Clara County, California",475,4957,2.1,0.0175509380673795,2.5,0.0092798063344765,0.00201734920314706,0.163808755295542,63,0.0328827920112972,0.0514424046802502,0.00141214444220295,0.0671777284647973,0.356465604196086,0.01028848093605,0,0,0.00121040952188824,0,58.7,7.7,21.9,4.8,0.00282428888440589,0,0.0137179745814,0.0651603792616502,"5119.11",75,0.1,1,0,0.3,"0% to 11%","6% to 8%","36550467",0,2.21908412346177,1.61387936251765,0.201734920314706,0,1.41214444220295,0.605204760944119,0,0,0,0.201734920314706,0,0.201734920314706,0.403469840629413,0.201734920314706,0.201734920314706,0.403469840629413,0,0,1.21040952188824,0,0,0.201734920314706,0,0,0,0,0,8.47286665321767,706,0.00504337300786766,1430,14,795,15,115,112,676,63,9,1044,8,771,13,103,86,619,57,6,3229,2707,0.838340043357076,0.161659956642924,0.015130119023603,370.270481258089,-0.444536732445346,0.00121040952188824,0.0112971555376236
"315","06085511912",75,"Census Tract 5119.12, Santa Clara County, California",514,5367,3.2,0.0121110490031675,3.8,0.00577603875535681,0,0.254891000558972,59,0.0121110490031675,0.00596236258617477,0.00950251537171604,0.038755356810136,0.351220421091858,0.00540339109372089,0,0,0.00465809577044904,0.00223588596981554,42.5,1.5,44.1,5.5,0.000745295323271846,0,0.00782560089435439,0.0659586361095584,"5119.12",75,0.1,1,0,0.3,"0% to 11%","6% to 8%","2448211",0,0.931619154089808,3.54015278554127,0.372647661635923,0,0.372647661635923,0.186323830817962,0,0,0,0.558971492453885,0,0,0.558971492453885,0,0.745295323271846,0.186323830817962,0,0,1.11794298490777,0,0.186323830817962,0,0,0,0,0,0,8.19824855599031,424,0.00372647661635923,809,4,208,3,20,33,243,15,1,510,0,198,3,16,17,215,12,0,1336,971,0.726796407185629,0.273203592814371,0.00931619154089808,277.681829427197,-0.245899558737973,0.00689398174026458,0.00577603875535681
"316","06085511913",36,"Census Tract 5119.13, Santa Clara County, California",425,4343,0.5,0.0103615012664057,0.9,0.00598664517614552,0.00230255583697905,0.276997467188579,60,0.0147363573566659,0.0232558139534884,0.00184204466958324,0.014506101772968,0.236702740041446,0.009670734515312,0,0,0,0,63.5,0.2,19,14.9,0,0.00299332258807276,0.0292424591296339,0.0375316601427585,"5119.13",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","1927988",0,0.690766751093714,5.75638959244762,0,0,1.15127791848952,0,0.690766751093714,0,0,0.460511167395809,0.230255583697905,0,0,0.690766751093714,0,0.921022334791619,0,0,1.15127791848952,0.230255583697905,0.230255583697905,0.460511167395809,0,0,0,0,0.230255583697905,11.7430347685931,568,0.00690766751093714,1148,10,190,11,36,64,714,71,3,815,7,168,9,32,42,577,66,0,2247,1716,0.763684913217624,0.236315086782376,0.000230255583697905,0,-0.720155241268731,0,0.00828920101312457
"317","06085511914",36,"Census Tract 5119.14, Santa Clara County, California",574,5754,2.4,0.0238095238095238,3.3,0.00139033715676051,0.00121654501216545,0.237573861661453,46,0.0222453945081682,0.00608272506082725,0.00503997219325686,0.0356273896419882,0.253041362530414,0.0114702815432742,0,0,0,0.00260688216892596,64,0.6,21.1,7.6,0.00573514077163712,0.00556134862704206,0.0279805352798054,0.0495307612095933,"5119.14",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","2776705",0,0.695168578380257,5.56134862704206,0,0,0.868960722975322,0.173792144595064,0,0,0,0.347584289190129,0.521376433785193,0.347584289190129,0.868960722975322,0,0,0.173792144595064,0,0.173792144595064,1.73792144595064,0.521376433785193,0,0.521376433785193,0.173792144595064,0.173792144595064,0,0,0,11.2964893986792,813,0.00538755648244699,1016,7,281,8,28,52,474,20,3,690,3,261,6,25,31,402,15,0,1889,1433,0.758602435150873,0.241397564849127,0.0024330900243309,656.687084156712,-0.898028407019481,0.00260688216892596,0.00260688216892596
"318","06085511915",36,"Census Tract 5119.15, Santa Clara County, California",300,3678,1.9,0.0114192495921697,20,0.00108754758020663,0.00353452963567156,0.305600870038064,29,0.0418705818379554,0.0894507884719957,0.0350734094616639,0.0358890701468189,0.319195214790647,0.00190320826536161,0.0149537792278412,0.034257748776509,0.0261011419249592,0.00679717237629146,36,10.6,10.2,37.4,0,0,0.222675367047308,0.0554649265905383,"5119.15",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","1126107",0,11.6911364872213,4.89396411092985,3.53452963567156,0.271886895051658,2.71886895051659,1.35943447525829,0.543773790103317,0,0,2.17509516041327,0.543773790103317,0.271886895051658,3.80641653072322,0.543773790103317,0.815660685154976,3.80641653072322,0,2.17509516041327,8.97226753670473,1.08754758020663,1.63132137030995,1.35943447525829,1.08754758020663,0.543773790103317,1.08754758020663,0,1.35943447525829,48.1239804241436,1448,0.00870038064165307,1148,10,190,11,36,64,714,71,3,815,7,168,9,32,42,577,66,0,2247,1716,0.763684913217624,0.236315086782376,0.021479064709081,6859.08851265364,1.52642154546392,0.0671560630777596,0.00462207721587819
"319","06085511916",36,"Census Tract 5119.16, Santa Clara County, California",500,4774,4.1,0.0194805194805195,7.3,0.00523669878508588,0.00209467951403435,0.262672811059908,16,0.0203183912861332,0.0418935902806871,0.0136154168412233,0.0155006284038542,0.284038542103058,0.00335148722245496,0.00167574361122748,0.0106828655215752,0.00167574361122748,0.00293255131964809,55.2,2.1,23.8,14.2,0,0.000837871805613741,0.00942605781315459,0.0909090909090909,"5119.16",36,2.6,3.5,2,8.1,"11% to 17%","8% to 10%","1834523",0,3.14201927105153,3.77042312526183,0.418935902806871,0.209467951403435,1.88521156263092,1.04733975701718,0.209467951403435,0,0,1.88521156263092,0.209467951403435,0.209467951403435,1.46627565982405,0.209467951403435,2.93255131964809,0.418935902806871,0,0.209467951403435,3.77042312526183,0.628403854210306,0.209467951403435,0,0.418935902806871,0,0,0,0,20.9467951403435,928,0.00628403854210306,1148,10,190,11,36,64,714,71,3,815,7,168,9,32,42,577,66,0,2247,1716,0.763684913217624,0.236315086782376,0.00502723083368245,1050.7637307297,-0.00136165071555668,0.0152911604524508,0.00733137829912024
"320","06085512001",74,"Census Tract 5120.01, Santa Clara County, California",539,6720,2.4,0.0494047619047619,2.9,0.00327380952380952,0.00178571428571429,0.285863095238095,60,0.0217261904761905,0.0172619047619048,0.00401785714285714,0.0370535714285714,0.352232142857143,0.00982142857142857,0,0.00267857142857143,0.00505952380952381,0.00193452380952381,24.6,1.9,49,20.4,0,0,0.0525297619047619,0.0632440476190476,"5120.01",74,0.1,1.1,0.1,5.5,"11% to 17%","6% to 8%","19874505",0,3.72023809523809,1.19047619047619,0.297619047619048,0.148809523809524,2.82738095238095,0.297619047619048,0.297619047619048,0,0,0.595238095238095,0.595238095238095,0.148809523809524,0.595238095238095,0.297619047619048,1.93452380952381,1.63690476190476,0,0.446428571428571,3.42261904761905,0.148809523809524,0.892857142857143,0.446428571428571,0,0.297619047619048,0.148809523809524,0,0,18.8988095238095,1672,0.00342261904761905,1610,7,962,17,190,104,193,66,1,1143,2,902,13,174,79,158,60,0,3150,2531,0.803492063492063,0.196507936507937,0.00729166666666667,3902.65246286235,0.557781049031608,0.00967261904761905,0.00505952380952381
"321","06085512005",41,"Census Tract 5120.05, Santa Clara County, California",351,6683,2.6,0.016160407002843,3.3,0.00703276971420021,0,0.186742480921742,18,0.0374083495436181,0.0285799790513243,0.00583570252880443,0.0594044590752656,0.221008529103696,0.00568606913062996,0,0.00718240311237468,0.00314230136166392,0,52.4,1.7,16,25.7,0,0.000748166990872363,0.0676342959748616,0.0504264551847972,"5120.05",41,6.3,14.8,3.2,11.5,"22% to 26%","10% to 15%","2420997",0,6.28460272332785,3.44156815801287,0.59853359269789,0,2.54376776896603,0.897800389046835,0.149633398174473,0,0,1.19706718539578,0.748166990872363,0,0.897800389046835,0.299266796348945,24.8391440969624,0.448900194523418,0,0.149633398174473,2.39413437079156,0.149633398174473,0.149633398174473,0.59853359269789,0.149633398174473,0.149633398174473,0,0,0.149633398174473,44.7403860541673,1196,0.00374083495436181,1345,8,628,13,101,83,174,47,2,928,3,591,12,88,63,138,43,1,2401,1867,0.77759266972095,0.22240733027905,0.0145144396229238,15134.0486881931,0.321743191982325,0.0103247044740386,0.00703276971420021
"322","06085512017",52,"Census Tract 5120.17, Santa Clara County, California",409,9119,4.7,0.02291917973462,14.8,0.0169974777936177,0,0.252001315933765,48,0.039587674087071,0.0984757100559272,0.0278539313521219,0.0274152867638996,0.446540190810396,0.0120627261761158,0.00219322294111196,0.0201776510582301,0.0190810395876741,0.00570237964689111,12,4.4,33.6,48.4,0.0110757758526154,0,0.160543919289396,0.0354205504989582,"5120.17",52,6.7,16.5,4.7,36.3,"22% to 26%","15% to 21%","2300596",0,6.57966882333589,1.97390064700077,2.85118982344555,0.548305735277991,1.53525605877837,0.767628029389187,0.328983441166795,0,0,1.64491720583397,0.657966882333589,0.877289176444786,1.20627261761158,0.657966882333589,0.986950323500384,2.19322294111196,0.109661147055598,0.657966882333589,3.07051211755675,0.328983441166795,0.109661147055598,0.438644588222393,0.548305735277991,0.438644588222393,0.219322294111196,0,1.31593376466718,26.0993529992324,1766,0.00252220638227876,1427,7,703,13,116,90,177,60,1,992,2,662,11,104,66,144,56,0,2594,2037,0.785273708558211,0.214726291441789,0.00833424717622546,25535.4280043577,0.893054695320824,0.0449610702927953,0.0169974777936177
"323","06085512019",63,"Census Tract 5120.19, Santa Clara County, California",417,4904,1.6,0.0144779771615008,9.5,0.0065252854812398,0,0.249184339314845,31,0.0697389885807504,0.0599510603588907,0.0120309951060359,0.0348694942903752,0.27589722675367,0.00407830342577488,0,0.00795269168026101,0.0177406199021207,0.0130505709624796,35,7.8,29.3,25.4,0.00693311582381729,0,0.0446574225122349,0.0717781402936378,"5120.19",63,5.1,13.6,2.8,14.5,"17% to 22%","15% to 21%","1078547",0,7.34094616639478,5.30179445350734,1.01957585644372,0,3.67047308319739,0.407830342577488,0,0.203915171288744,0,1.01957585644372,1.01957585644372,0.407830342577488,2.03915171288744,0,8.15660685154976,0.611745513866232,0,1.22349102773246,4.69004893964111,0.815660685154976,0.407830342577488,0.611745513866232,0,0.815660685154976,0.203915171288744,0,0.407830342577488,36.2969004893964,838,0.0050978792822186,1560,11,730,14,124,116,354,64,9,1113,5,690,13,110,90,308,59,6,2982,2394,0.802816901408451,0.197183098591549,0.0142740619902121,17041.4822817504,1.42823373830692,0.0387438825448613,0.0065252854812398
