"","VOCATIONAL_TRAINING","joblessness","poverty_in_community","concentrated_disadvantage","edu_completion","illegal_econ_activity","VOCATIONAL_TRAINING_percentile","joblessness_percentile","poverty_in_community_percentile","concentrated_disadvantage_percentile","edu_completion_percentile","illegal_econ_activity_percentile","VOCATIONAL_TRAINING_score"
"30",0.148711119655464,0.156225926763485,0.155833540316265,0.142948626038621,0,0.0651107894635495,0.0785123966942149,0.128099173553719,0.289256198347107,0.0743801652892562,0,0.454545454545455,"0"
"31",0.254219332642188,0.329759648401149,0.137518338694274,0.20204296954639,0.0479023875875574,0.07659745680276,0.28099173553719,0.450413223140496,0.243801652892562,0.198347107438017,0.40495867768595,0.549586776859504,"20"
"32",0.181096018567133,0.250620444690975,0.106589022250036,0.187636236655227,0,0.0592837854590874,0.132231404958678,0.28099173553719,0.161157024793388,0.15702479338843,0,0.396694214876033,"10"
"33",0.179077106210679,0.1376511247283,0.155040782819082,0.237022859603224,0,0.069177402747262,0.128099173553719,0.107438016528926,0.285123966942149,0.334710743801653,0,0.491735537190083,"10"
"34",0.0988782358787058,0.184418253429117,0.0491472348841979,0.138837019157741,0.011461937716263,0.00698150682832055,0.0413223140495868,0.181818181818182,0.0371900826446281,0.0619834710743802,0.128099173553719,0.136363636363636,"0"
"35",0.198678964131016,0.125485770684743,0.27333941463131,0.217897651591264,0.0295979151154133,0.00342116659242459,0.173553719008264,0.0991735537190083,0.578512396694215,0.28099173553719,0.260330578512397,0.119834710743802,"10"
"36",0.520183985928704,0.550641220900502,0.280866200887647,0.552443285667927,0.0448289119569396,0.0549878102633147,0.752066115702479,0.834710743801653,0.59504132231405,0.962809917355372,0.371900826446281,0.355371900826446,"70"
"37",0.376113856111585,0.361459358076077,0.250942714513539,0.423139376156631,0.0381300863322709,0.0363593881584686,0.524793388429752,0.504132231404959,0.533057851239669,0.838842975206612,0.322314049586777,0.243801652892562,"50"
"38",0.387374828881221,0.443093832480985,0.136340298353925,0.333410012852871,0.20523025210084,0.0211689438415141,0.545454545454545,0.665289256198347,0.239669421487603,0.673553719008264,0.909090909090909,0.177685950413223,"50"
"39",0.280669766662976,0.336468348065427,0.0645926057238639,0.226917811529588,0.184024526001449,0.0504333485208743,0.338842975206612,0.466942148760331,0.0661157024793388,0.318181818181818,0.87603305785124,0.322314049586777,"30"
"40",0.423934379988229,0.460936986116746,0.165433285738483,0.500829605652789,0.0488001873823812,0.058083467672637,0.599173553719008,0.710743801652893,0.318181818181818,0.925619834710744,0.413223140495868,0.371900826446281,"50"
"41",0.227626641947115,0.24976805520455,0.0966173900934666,0.301567676115978,0.0344391244870041,0.0424436841532645,0.214876033057851,0.272727272727273,0.132231404958678,0.574380165289256,0.289256198347107,0.28099173553719,"20"
"42",0.261787117297605,0.201139885721555,0.21641689393557,0.232041160386452,0.0829625968034272,0.0808920740695967,0.318181818181818,0.210743801652893,0.483471074380165,0.326446280991736,0.586776859504132,0.570247933884298,"30"
"43",0.232153331061345,0.232978767506891,0.153714549129156,0.28277003734531,0.0170986127540596,0.0500167789700626,0.21900826446281,0.247933884297521,0.28099173553719,0.508264462809917,0.169421487603306,0.318181818181818,"20"
"44",0.165529682243606,0.0806614595039924,0.180399962599817,0.156882554990053,0.0736670950145551,0.0721373319642004,0.111570247933884,0.0537190082644628,0.363636363636364,0.0909090909090909,0.545454545454545,0.504132231404959,"10"
"45",0.455637309511127,0.394189012624432,0.250680009488474,0.525233580025897,0.0810151557858676,0.0652072645212513,0.652892561983471,0.574380165289256,0.528925619834711,0.950413223140496,0.56198347107438,0.462809917355372,"60"
"46",0.178334146369983,0.244509694508052,0.0975863986675702,0.171637767323591,0,0.0832309757061058,0.12396694214876,0.256198347107438,0.140495867768595,0.115702479338843,0,0.586776859504132,"10"
"47",0.14560165310895,0.102827484703347,0.183522776236037,0.141006014783533,0.017348372226238,0.0673478771896271,0.0743801652892562,0.0702479338842975,0.37603305785124,0.0661157024793388,0.173553719008264,0.475206611570248,"0"
